model_sn,brand_list,car_list,model_list,model_list_1,model_list_2,production_period,data_crtr_pnttm,create_dt
1,현대,i30,i30 (PD),1.4 터보,튜너 패키지,16년 ~ 현재,20260319,202603191855
2,현대,i30,i30 (PD),1.4 터보,스마트,16년 ~ 현재,20260319,202603191855
3,현대,i30,i30 (PD),1.4 터보,스타일,16년 ~ 현재,20260319,202603191855
4,현대,i30,i30 (PD),1.4 터보,모던,16년 ~ 현재,20260319,202603191855
5,현대,i30,i30 (PD),1.4 터보,프리미엄,16년 ~ 현재,20260319,202603191855
6,현대,i30,i30 (PD),1.6 터보,스포츠,16년 ~ 현재,20260319,202603191855
7,현대,i30,i30 (PD),1.6 터보,스포츠 프리미엄,16년 ~ 현재,20260319,202603191855
8,현대,i30,i30 (PD),1.6 터보,N Line,16년 ~ 현재,20260319,202603191855
9,현대,i30,i30 (PD),1.6 터보,스포츠 에센스 에디션,16년 ~ 현재,20260319,202603191855
10,현대,i30,i30 (PD),2.0 수출형,,16년 ~ 현재,20260319,202603191855
11,현대,i30,i30 (PD),디젤 1.6,스마트,16년 ~ 현재,20260319,202603191855
12,현대,i30,i30 (PD),디젤 1.6,모던,16년 ~ 현재,20260319,202603191855
13,현대,i30,i30 (PD),디젤 1.6,프리미엄,16년 ~ 현재,20260319,202603191855
1,현대,i30,i30 (PD),1.4 터보,튜너 패키지,16년 ~ 현재,20260319,202603191855
2,현대,i30,i30 (PD),1.4 터보,스마트,16년 ~ 현재,20260319,202603191855
3,현대,i30,i30 (PD),1.4 터보,스타일,16년 ~ 현재,20260319,202603191855
4,현대,i30,i30 (PD),1.4 터보,모던,16년 ~ 현재,20260319,202603191855
5,현대,i30,i30 (PD),1.4 터보,프리미엄,16년 ~ 현재,20260319,202603191855
6,현대,i30,i30 (PD),1.6 터보,스포츠,16년 ~ 현재,20260319,202603191855
7,현대,i30,i30 (PD),1.6 터보,스포츠 프리미엄,16년 ~ 현재,20260319,202603191855
8,현대,i30,i30 (PD),1.6 터보,N Line,16년 ~ 현재,20260319,202603191855
9,현대,i30,i30 (PD),1.6 터보,스포츠 에센스 에디션,16년 ~ 현재,20260319,202603191855
10,현대,i30,i30 (PD),2.0 수출형,,16년 ~ 현재,20260319,202603191855
11,현대,i30,i30 (PD),디젤 1.6,스마트,16년 ~ 현재,20260319,202603191855
12,현대,i30,i30 (PD),디젤 1.6,모던,16년 ~ 현재,20260319,202603191855
13,현대,i30,i30 (PD),디젤 1.6,프리미엄,16년 ~ 현재,20260319,202603191855
14,현대,i30,더 뉴 i30,2.0 유니크,,15년 ~ 16년,20260319,202603191855
15,현대,i30,더 뉴 i30,2.0 PYL,,15년 ~ 16년,20260319,202603191855
16,현대,i30,더 뉴 i30,2.0 TUIX,블랙 라이트,15년 ~ 16년,20260319,202603191855
17,현대,i30,더 뉴 i30,2.0 D-스펙,,15년 ~ 16년,20260319,202603191855
18,현대,i30,더 뉴 i30,디젤 1.6 유니크,,15년 ~ 16년,20260319,202603191855
19,현대,i30,더 뉴 i30,디젤 1.6 PYL,,15년 ~ 16년,20260319,202603191855
20,현대,i30,더 뉴 i30,디젤 1.6 TUIX,블랙 라이트,15년 ~ 16년,20260319,202603191855
14,현대,i30,더 뉴 i30,2.0 유니크,,15년 ~ 16년,20260319,202603191855
15,현대,i30,더 뉴 i30,2.0 PYL,,15년 ~ 16년,20260319,202603191855
16,현대,i30,더 뉴 i30,2.0 TUIX,블랙 라이트,15년 ~ 16년,20260319,202603191855
17,현대,i30,더 뉴 i30,2.0 D-스펙,,15년 ~ 16년,20260319,202603191855
18,현대,i30,더 뉴 i30,디젤 1.6 유니크,,15년 ~ 16년,20260319,202603191855
19,현대,i30,더 뉴 i30,디젤 1.6 PYL,,15년 ~ 16년,20260319,202603191855
20,현대,i30,더 뉴 i30,디젤 1.6 TUIX,블랙 라이트,15년 ~ 16년,20260319,202603191855
21,현대,i30,i30(신형),1.6 GDI 유니크,,11년 ~ 15년,20260319,202603191855
22,현대,i30,i30(신형),1.6 GDI 익스트림,,11년 ~ 15년,20260319,202603191855
23,현대,i30,i30(신형),1.6 GDI 블루세이버,,11년 ~ 15년,20260319,202603191855
24,현대,i30,i30(신형),1.6 GDI PYL,,11년 ~ 15년,20260319,202603191855
25,현대,i30,i30(신형),1.6 GDI PYL TUIX,크래용,11년 ~ 15년,20260319,202603191855
26,현대,i30,i30(신형),1.6 GDI PYL TUIX,크래용휠,11년 ~ 15년,20260319,202603191855
27,현대,i30,i30(신형),1.6 GDI PYL TUIX,크래용+크래용휠,11년 ~ 15년,20260319,202603191855
28,현대,i30,i30(신형),1.6 GDI PYL TUIX,블랙 라이트,11년 ~ 15년,20260319,202603191855
29,현대,i30,i30(신형),2.0 GDi D-스펙,,11년 ~ 15년,20260319,202603191855
30,현대,i30,i30(신형),2.0 GDI D-스펙 TUIX,크레용휠,11년 ~ 15년,20260319,202603191855
31,현대,i30,i30(신형),디젤 1.6 VGT 유니크,,11년 ~ 15년,20260319,202603191855
32,현대,i30,i30(신형),디젤 1.6 VGT 익스트림,,11년 ~ 15년,20260319,202603191855
33,현대,i30,i30(신형),디젤 1.6 VGT PYL,,11년 ~ 15년,20260319,202603191855
